CustomerID,Gender,Age,Annual Income (BDT),Spending Score (1-100),KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,GMM_Cluster
101,Male,49,1429152,44,2,1,0,2
102,Female,22,1167991,73,0,2,0,0
103,Female,50,872616,24,3,3,0,3
104,Male,37,688988,44,1,0,0,1
105,Female,43,573235,49,1,0,0,1
106,Female,63,941626,17,3,3,0,3
107,Male,39,1221384,27,2,1,0,2
108,Female,24,1398385,74,0,2,0,0
109,Female,26,1274068,90,0,2,0,0
110,Female,39,534376,44,1,0,0,1
111,Female,33,963379,73,4,4,0,4
112,Female,23,1262249,88,0,2,0,0
113,Male,34,614632,71,4,4,0,4
114,Male,50,1483549,29,2,1,0,2
115,Male,27,1230382,98,0,2,0,0
116,Female,51,1500000,50,2,1,0,2
117,Female,28,1293374,87,0,2,0,0
118,Female,29,1218619,85,0,2,0,0
119,Female,43,430977,54,1,0,0,1
120,Male,54,1094628,47,2,1,0,2
121,Female,31,763395,85,4,4,0,4
122,Male,34,549095,45,1,0,0,1
123,Male,58,857612,23,3,3,0,3
124,Male,45,490914,55,1,0,0,1
125,Female,40,610696,38,1,0,0,1
126,Female,56,1376247,26,2,1,0,2
127,Female,41,1448781,40,2,1,0,2
128,Male,58,733832,32,3,3,0,3
129,Male,55,938043,20,3,3,0,3
130,Female,49,897285,12,3,3,0,3
131,Male,40,1500000,32,2,1,0,2
132,Female,47,525294,43,1,0,0,1
133,Female,47,1323562,35,2,1,0,2
134,Female,49,638877,56,1,0,0,1
135,Male,58,761748,18,3,3,0,3
136,Female,30,1077339,76,0,2,0,0
137,Male,22,1205882,77,0,2,0,0
138,Female,45,484296,52,1,0,0,1
139,Female,60,967605,24,3,3,0,3
140,Male,51,1280077,32,2,1,0,2
141,Male,34,794131,69,4,4,0,4
142,Female,41,482397,44,1,0,0,1
143,Female,53,1395305,29,2,1,0,2
144,Male,29,873498,79,4,4,0,4
145,Male,53,1188384,39,2,1,0,2
146,Female,26,1141631,88,0,2,0,0
147,Female,48,1482570,26,2,1,0,2
148,Male,47,1500000,37,2,1,0,2
149,Male,52,1238332,42,2,1,0,2
150,Female,29,1219207,91,0,2,0,0
151,Male,53,1298903,32,2,1,0,2
152,Male,33,730208,81,4,4,0,4
153,Female,58,1044303,26,3,3,0,3
154,Female,46,1331770,30,2,1,0,2
155,Female,26,1203261,81,0,2,0,0
156,Female,49,1500000,22,2,1,0,2
157,Male,26,1265896,92,0,2,0,0
158,Male,35,780053,75,4,4,0,4
159,Female,43,503314,34,1,0,0,1
160,Female,31,672791,62,4,4,0,4
161,Female,42,461747,61,1,0,0,1
162,Male,50,1282856,32,2,1,0,2
163,Male,24,1247165,82,0,2,0,0
164,Male,24,1322417,97,0,2,0,0
165,Female,49,562964,42,1,0,0,1
166,Female,35,632794,40,1,0,0,1
167,Female,30,1408889,81,0,2,0,0
168,Female,36,792436,74,4,4,0,4
169,Male,55,1489812,34,2,1,0,2
170,Male,25,1397187,87,0,2,0,0
171,Male,36,751010,78,4,4,0,4
172,Female,25,845383,86,4,2,0,4
173,Female,39,404825,43,1,0,0,1
174,Female,60,1010862,18,3,3,0,3
175,Male,32,680192,69,4,4,0,4
176,Female,37,208187,48,1,0,0,1
177,Female,49,1456444,37,2,1,0,2
178,Female,33,505871,53,1,0,0,1
179,Female,25,1310417,73,0,2,0,0
180,Female,46,463479,51,1,0,0,1
181,Male,27,1014133,77,0,2,0,0
182,Male,36,739990,84,4,4,0,4
183,Male,47,1485566,41,2,1,0,2
184,Male,26,681934,81,4,4,0,4
185,Female,27,1236267,85,0,2,0,0
186,Male,26,1215052,81,0,2,0,0
187,Male,27,1263346,97,0,2,0,0
188,Female,52,1373608,22,2,1,0,2
189,Male,44,813131,45,1,0,0,1
190,Female,47,731671,43,1,0,0,1
191,Male,62,1163599,25,3,3,0,3
192,Male,57,877724,29,3,3,0,3
193,Female,58,1397893,34,2,1,0,2
194,Male,35,1454994,90,0,2,0,0
195,Female,60,834318,25,3,3,0,3
196,Female,27,889893,61,4,4,0,4
197,Female,25,1202011,76,0,2,0,0
198,Female,33,863926,71,4,4,0,4
199,Female,63,751841,25,3,3,0,3
200,Female,30,1150170,90,0,2,0,0
201,Female,40,483408,46,1,0,0,1
202,Female,41,1396950,40,2,1,0,2
203,Female,30,1172538,88,0,2,0,0
204,Male,33,813881,67,4,4,0,4
205,Female,57,1500000,40,2,1,0,2
206,Female,41,623889,45,1,0,0,1
207,Female,49,1314893,36,2,1,0,2
208,Female,43,1404172,28,2,1,0,2
209,Male,21,1240798,84,0,2,0,0
210,Male,57,1380866,40,2,1,0,2
211,Female,42,1281829,32,2,1,0,2
212,Male,40,437714,58,1,0,0,1
213,Male,41,397988,56,1,0,0,1
214,Male,48,1236564,36,2,1,0,2
215,Male,56,909084,20,3,3,0,3
216,Female,25,1293735,83,0,2,0,0
217,Female,25,1210517,86,0,2,0,0
218,Male,26,1415663,83,0,2,0,0
219,Male,44,1287208,36,2,1,0,2
220,Female,49,1500000,36,2,1,0,2
221,Female,41,584020,59,1,0,0,1
222,Male,43,531481,50,1,0,0,1
223,Male,58,800853,27,3,3,0,3
224,Female,37,725716,75,4,4,0,4
225,Male,41,423587,56,1,0,0,1
226,Female,23,1332368,94,0,2,0,0
227,Female,21,1292889,82,0,2,0,0
228,Female,53,1500000,22,2,1,0,2
229,Female,58,931121,19,3,3,0,3
230,Male,23,1265873,76,0,2,0,0
231,Female,31,641453,65,4,4,0,4
232,Female,47,1265132,21,2,1,0,2
233,Male,33,847042,92,4,4,0,4
234,Male,22,1349863,90,0,2,0,0
235,Male,57,968150,22,3,3,0,3
236,Female,57,775040,20,3,3,0,3
237,Male,21,1227137,85,0,2,0,0
238,Male,46,502480,42,1,0,0,1
239,Male,32,688394,64,4,4,0,4
240,Male,57,961129,23,3,3,0,3
241,Female,34,746783,87,4,4,0,4
242,Male,50,830078,26,3,3,0,3
243,Male,43,1324167,27,2,1,0,2
244,Male,44,1424960,35,2,1,0,2
245,Male,30,1072508,82,0,2,0,0
246,Female,26,1208517,90,0,2,0,0
247,Male,50,530233,53,1,0,0,1
248,Male,24,1318066,82,0,2,0,0
249,Female,58,858958,23,3,3,0,3
250,Female,27,638468,78,4,4,0,4
251,Female,54,841859,14,3,3,0,3
252,Female,27,498944,45,1,0,0,1
253,Male,28,1038728,83,0,2,0,0
254,Male,59,1038569,13,3,3,0,3
255,Female,27,755716,70,4,4,0,4
256,Female,36,766597,56,4,4,0,4
257,Female,49,1480184,38,2,1,0,2
258,Female,24,779679,74,4,4,0,4
259,Female,51,1405718,50,2,1,0,2
260,Female,41,1426288,34,2,1,0,2
261,Female,39,559656,46,1,0,0,1
262,Male,39,541893,50,1,0,0,1
263,Female,29,1196612,90,0,2,0,0
264,Male,62,964136,14,3,3,0,3
265,Male,24,1218767,89,0,2,0,0
266,Male,50,1480797,26,2,1,0,2
267,Male,39,658221,58,1,0,0,1
268,Male,30,771105,81,4,4,0,4
269,Female,32,852922,75,4,4,0,4
270,Female,30,1332027,79,0,2,0,0
271,Male,53,1500000,44,2,1,0,2
272,Male,60,826731,24,3,3,0,3
273,Female,47,1321754,32,2,1,0,2
274,Female,21,1235741,81,0,2,0,0
275,Male,56,695928,24,3,3,0,3
276,Male,54,694573,9,3,3,0,3
277,Female,36,774657,73,4,4,0,4
278,Female,59,985579,31,3,3,0,3
279,Male,59,895787,30,3,3,0,3
280,Female,29,1495860,87,0,2,0,0
281,Male,44,602165,51,1,0,0,1
282,Male,59,1035430,28,3,3,0,3
283,Female,18,1209705,80,0,2,0,0
284,Male,54,819069,18,3,3,0,3
285,Female,61,959539,30,3,3,0,3
286,Female,44,1487613,39,2,1,0,2
287,Female,24,1018612,83,0,2,0,0
288,Female,34,640313,88,4,4,0,4
289,Female,27,1489527,84,0,2,0,0
290,Female,26,1251891,83,0,2,0,0
291,Female,34,622524,71,4,4,0,4
292,Male,31,681389,66,4,4,0,4
293,Male,34,414455,29,1,0,0,1
294,Female,45,432151,25,1,0,0,1
295,Male,46,1396708,45,2,1,0,2
296,Female,31,903448,82,4,4,0,4
297,Female,55,863343,23,3,3,0,3
298,Female,28,688011,74,4,4,0,4
299,Male,29,834496,70,4,4,0,4
300,Female,26,1233702,83,0,2,0,0
301,Male,28,1319054,93,0,2,0,0
302,Male,40,525041,42,1,0,0,1
303,Male,30,1215415,83,0,2,0,0
304,Female,32,530994,49,1,0,0,1
305,Male,35,782564,91,4,4,0,4
306,Male,62,906504,18,3,3,0,3
307,Female,41,409272,36,1,0,0,1
308,Male,43,503751,63,1,0,0,1
309,Female,47,387705,45,1,0,0,1
310,Male,21,1342552,80,0,2,0,0
311,Female,25,1056355,84,0,2,0,0
312,Female,40,485912,47,1,0,0,1
313,Female,54,781190,26,3,3,0,3
314,Female,54,1264621,32,2,1,0,2
315,Male,44,583236,49,1,0,0,1
316,Female,51,1500000,27,2,1,0,2
317,Female,30,1270724,92,0,2,0,0
318,Female,33,596686,67,4,4,0,4
319,Female,47,1458010,25,2,1,0,2
320,Male,43,577708,54,1,0,0,1
321,Female,40,491379,47,1,0,0,1
322,Female,57,945298,27,3,3,0,3
323,Female,45,1384970,31,2,1,0,2
324,Female,41,1491366,24,2,1,0,2
325,Female,35,535754,41,1,0,0,1
326,Female,44,594017,43,1,0,0,1
327,Female,28,1205586,87,0,2,0,0
328,Male,45,1396967,19,2,1,0,2
329,Male,24,779047,60,4,4,0,4
330,Male,49,1438338,29,2,1,0,2
331,Male,59,956082,15,3,3,0,3
332,Female,55,971109,18,3,3,0,3
333,Female,43,1180527,34,2,1,0,2
334,Female,54,975166,11,3,3,0,3
335,Male,59,864232,21,3,3,0,3
336,Female,31,879452,86,4,4,0,4
337,Female,53,1435150,42,2,1,0,2
338,Male,45,508045,57,1,0,0,1
339,Male,50,1389654,34,2,1,0,2
340,Female,48,378429,55,1,0,0,1
341,Male,29,708443,98,4,4,-1,4
342,Female,23,1210961,81,0,2,0,0
343,Male,61,1078524,27,3,3,0,3
344,Female,35,712907,72,4,4,0,4
345,Male,24,1453054,90,0,2,0,0
346,Female,42,448960,39,1,0,0,1
347,Female,34,829386,64,4,4,0,4
348,Male,29,1058519,86,0,2,0,0
349,Female,37,436681,48,1,0,0,1
350,Female,22,1226240,73,0,2,0,0
351,Male,55,851595,24,3,3,0,3
352,Male,39,665342,74,4,4,0,4
353,Female,26,980236,90,0,2,0,0
354,Male,49,1476112,29,2,1,0,2
355,Female,32,701105,74,4,4,0,4
356,Female,27,1164882,75,0,2,0,0
357,Female,28,694885,79,4,4,0,4
358,Female,52,784605,27,3,3,0,3
359,Female,32,739216,66,4,4,0,4
360,Female,37,625237,51,1,0,0,1
361,Female,34,897105,75,4,4,0,4
362,Female,51,1493760,37,2,1,0,2
363,Male,58,1411533,45,2,1,0,2
364,Male,55,817669,27,3,3,0,3
365,Male,59,753330,21,3,3,0,3
366,Female,64,762771,29,3,3,0,3
367,Female,54,1440017,41,2,1,0,2
368,Male,37,510871,47,1,0,0,1
369,Male,44,1474899,25,2,1,0,2
370,Female,56,1349999,37,2,1,0,2
371,Male,25,1245826,79,0,2,0,0
372,Female,30,1351481,85,0,2,0,0
373,Male,39,369686,60,1,0,0,1
374,Female,37,486015,42,1,0,0,1
375,Male,26,1370785,93,0,2,0,0
376,Female,43,376857,66,1,0,0,1
377,Male,43,320470,43,1,0,0,1
378,Male,47,440627,51,1,0,0,1
379,Female,22,1205468,95,0,2,0,0
380,Male,41,412783,59,1,0,0,1
381,Male,59,1225118,36,2,1,0,2
382,Male,44,1241476,44,2,1,0,2
383,Female,59,880268,18,3,3,0,3
384,Male,58,1003280,26,3,3,0,3
385,Female,24,1462650,97,0,2,0,0
386,Female,27,695255,59,4,4,0,4
387,Male,41,441233,39,1,0,0,1
388,Female,59,883660,22,3,3,0,3
389,Male,63,775185,24,3,3,0,3
390,Female,46,532922,34,1,0,0,1
391,Male,45,1418887,32,2,1,0,2
392,Female,46,536464,34,1,0,0,1
393,Female,48,513530,31,1,0,0,1
394,Female,31,579216,57,4,4,0,4
395,Female,41,1338307,26,2,1,0,2
396,Male,33,521217,50,1,0,0,1
397,Male,27,1246103,79,0,2,0,0
398,Male,26,1402326,86,0,2,0,0
399,Male,59,954958,27,3,3,0,3
400,Male,34,621773,76,4,4,0,4
401,Female,57,905873,16,3,3,0,3
402,Female,28,569586,64,4,4,0,4
403,Male,46,593877,45,1,0,0,1
404,Female,39,860996,80,4,4,0,4
405,Male,36,893508,63,4,4,0,4
406,Male,50,493957,46,1,0,0,1
407,Male,29,1273567,88,0,2,0,0
408,Female,30,755679,53,4,4,0,4
409,Male,60,806308,34,3,3,0,3
410,Female,55,1437906,19,2,1,0,2
411,Female,34,476632,68,4,4,0,4
412,Female,29,1419763,72,0,2,0,0
413,Male,43,561910,32,1,0,0,1
414,Male,24,1132647,79,0,2,0,0
415,Female,24,1073353,98,0,2,0,0
416,Female,43,573606,46,1,0,0,1
417,Male,41,621884,51,1,0,0,1
418,Female,24,1183417,91,0,2,0,0
419,Male,45,494184,26,1,0,0,1
420,Male,27,1401199,80,0,2,0,0
421,Male,24,1215392,98,0,2,0,0
422,Female,47,1376247,26,2,1,0,2
423,Female,45,418886,68,1,0,0,1
424,Female,64,928306,8,3,3,0,3
425,Male,57,803857,31,3,3,0,3
426,Female,63,852483,24,3,3,0,3
427,Female,61,842306,25,3,3,0,3
428,Female,25,1342522,75,0,2,0,0
429,Male,19,1157804,79,0,2,0,0
430,Male,22,1232729,90,0,2,0,0
431,Female,24,787366,60,4,4,0,4
432,Male,31,1343441,84,0,2,0,0
433,Female,27,707868,75,4,4,0,4
434,Female,33,387997,48,1,0,0,1
435,Male,45,313756,41,1,0,0,1
436,Male,39,413705,51,1,0,0,1
437,Male,39,511146,54,1,0,0,1
438,Male,40,1242690,40,2,1,0,2
439,Male,58,1398893,23,2,1,0,2
440,Female,55,954348,15,3,3,0,3
441,Male,29,1295060,82,0,2,0,0
442,Male,33,319174,54,1,0,0,1
443,Male,43,1419112,30,2,1,0,2
444,Female,46,494518,37,1,0,0,1
445,Male,54,1314557,27,2,1,0,2
446,Female,26,1154843,84,0,2,0,0
447,Female,51,1404691,20,2,1,0,2
448,Female,33,681761,64,4,4,0,4
449,Male,25,1337438,100,0,2,0,0
450,Female,31,819306,70,4,4,0,4
451,Female,36,801241,75,4,4,0,4
452,Female,62,978988,20,3,3,0,3
453,Male,32,853763,56,4,4,0,4
454,Female,39,721693,57,1,0,0,4
455,Male,36,564573,52,1,0,0,1
456,Female,27,1292004,83,0,2,0,0
457,Male,58,1012892,23,3,3,0,3
458,Female,23,1188390,82,0,2,0,0
459,Female,32,1333102,88,0,2,0,0
460,Female,23,1272744,80,0,2,0,0
461,Male,43,624739,49,1,0,0,1
462,Female,30,1319408,95,0,2,0,0
463,Female,24,1028091,78,0,2,0,0
464,Male,26,1179563,87,0,2,0,0
465,Female,35,413436,42,1,0,0,1
466,Male,32,433787,50,1,0,0,1
467,Female,68,774681,33,3,3,0,3
468,Male,60,957657,23,3,3,0,3
469,Male,31,1196772,97,0,2,0,0
470,Male,34,948266,75,4,4,0,4
471,Male,52,820575,31,3,3,0,3
472,Male,45,1490988,36,2,1,0,2
473,Male,45,1326598,28,2,1,0,2
474,Female,24,1268002,84,0,2,0,0
475,Male,31,842021,83,4,4,0,4
476,Male,20,691330,73,4,4,0,4
477,Female,29,641581,70,4,4,0,4
478,Female,34,699082,69,4,4,0,4
479,Female,42,783733,58,1,0,0,4
480,Male,57,871367,16,3,3,0,3
481,Female,29,750060,69,4,4,0,4
482,Female,26,1047924,85,0,2,0,0
483,Female,46,496364,58,1,0,0,1
484,Male,59,1337690,48,2,1,0,2
485,Female,51,1322754,28,2,1,0,2
486,Male,32,774222,60,4,4,0,4
487,Female,45,1500000,37,2,1,0,2
488,Female,34,687779,71,4,4,0,4
489,Female,22,1295487,84,0,2,0,0
490,Female,31,730003,69,4,4,0,4
491,Male,63,742822,22,3,3,0,3
492,Female,48,1357297,23,2,1,0,2
493,Female,30,837291,67,4,4,0,4
494,Male,33,769640,58,4,4,0,4
495,Female,48,1466878,24,2,1,0,2
496,Female,52,717529,22,3,3,0,3
497,Female,25,1195955,85,0,2,0,0
498,Male,46,1374755,26,2,1,0,2
499,Female,22,1173124,85,0,2,0,0
500,Male,32,559742,74,4,4,0,4
501,Male,42,435113,55,1,0,0,1
502,Male,54,1048944,23,3,3,0,3
503,Female,52,788060,19,3,3,0,3
504,Male,30,839666,66,4,4,0,4
505,Male,21,1347698,94,0,2,0,0
506,Female,51,1411926,24,2,1,0,2
507,Female,36,878202,77,4,4,0,4
508,Female,57,833673,23,3,3,0,3
509,Female,28,649976,61,4,4,0,4
510,Male,56,809888,24,3,3,0,3
511,Female,32,779803,63,4,4,0,4
512,Male,26,1331090,74,0,2,0,0
513,Female,24,1500000,79,0,2,0,0
514,Male,53,1425359,38,2,1,0,2
515,Male,57,1005075,14,3,3,0,3
516,Male,28,669149,64,4,4,0,4
517,Female,52,718430,13,3,3,0,3
518,Female,27,1119923,91,0,2,0,0
519,Male,41,600782,43,1,0,0,1
520,Female,37,519546,41,1,0,0,1
521,Female,29,1086188,82,0,2,0,0
522,Female,52,1034697,28,3,3,0,3
523,Female,40,419193,59,1,0,0,1
524,Male,52,785940,20,3,3,0,3
525,Female,49,860495,12,3,3,0,3
526,Male,41,446878,42,1,0,0,1
527,Female,40,863844,80,4,4,0,4
528,Male,55,1381956,39,2,1,0,2
529,Female,52,1382130,37,2,1,0,2
530,Male,34,724178,70,4,4,0,4
531,Female,47,1194038,44,2,1,0,2
532,Male,60,1014879,27,3,3,0,3
533,Male,42,486133,45,1,0,0,1
534,Male,26,687225,77,4,4,0,4
535,Male,24,1156148,81,0,2,0,0
536,Male,54,1382718,45,2,1,0,2
537,Male,44,734382,53,1,0,0,1
538,Male,37,877118,69,4,4,0,4
539,Female,38,441038,46,1,0,0,1
540,Male,42,560777,40,1,0,0,1
541,Female,51,1500000,40,2,1,0,2
542,Female,34,489695,54,1,0,0,1
543,Female,26,1416616,88,0,2,0,0
544,Male,40,1376673,34,2,1,0,2
545,Male,51,966506,39,3,3,0,3
546,Male,40,794276,56,1,0,0,4
547,Male,29,1262465,83,0,2,0,0
548,Female,60,1486040,37,2,1,0,2
549,Female,22,814550,86,4,4,0,4
550,Male,65,1043523,27,3,3,0,3
551,Female,42,1489292,17,2,1,0,2
552,Female,41,1447833,22,2,1,0,2
553,Male,24,1287210,86,0,2,0,0
554,Female,44,624169,29,1,0,0,1
555,Male,28,1199675,92,0,2,0,0
556,Male,26,796260,82,4,4,0,4
557,Female,53,949648,22,3,3,0,3
558,Female,23,1138181,77,0,2,0,0
559,Male,23,1368892,85,0,2,0,0
560,Female,23,1349706,81,0,2,0,0
561,Female,37,787651,64,4,4,0,4
562,Female,55,1430085,30,2,1,0,2
563,Male,37,1484478,29,2,1,0,2
564,Female,53,892747,21,3,3,0,3
565,Female,24,1298324,97,0,2,0,0
566,Female,55,1500000,32,2,1,0,2
567,Female,46,471267,39,1,0,0,1
568,Female,57,943198,19,3,3,0,3
569,Male,40,577991,43,1,0,0,1
570,Male,35,693604,88,4,4,0,4
571,Male,54,816858,24,3,3,0,3
572,Male,27,1077001,79,0,2,0,0
573,Female,26,691461,62,4,4,0,4
574,Female,48,602850,48,1,0,0,1
575,Female,48,1321305,40,2,1,0,2
576,Male,24,1219020,99,0,2,0,0
577,Female,61,819700,18,3,3,0,3
578,Male,62,800279,25,3,3,0,3
579,Male,56,1011629,33,3,3,0,3
580,Female,21,1202121,77,0,2,0,0
581,Female,21,1320656,83,0,2,0,0
582,Female,26,1117884,89,0,2,0,0
583,Male,25,461610,69,4,4,0,4
584,Female,35,626597,70,4,4,0,4
585,Male,26,1248645,90,0,2,0,0
586,Female,50,519033,55,1,0,0,1
587,Female,33,586694,84,4,4,0,4
588,Male,41,547260,50,1,0,0,1
589,Female,56,890056,30,3,3,0,3
590,Male,56,1492497,31,2,1,0,2
591,Male,32,780520,64,4,4,0,4
592,Male,29,658303,66,4,4,0,4
593,Male,33,871062,79,4,4,0,4
594,Female,46,607833,57,1,0,0,1
595,Female,40,598536,52,1,0,0,1
596,Female,24,1038833,88,0,2,0,0
597,Male,56,1456613,45,2,1,0,2
598,Male,27,1392940,82,0,2,0,0
599,Female,46,546051,62,1,0,0,1
600,Male,49,425192,48,1,0,0,1
601,Female,57,853625,32,3,3,0,3
602,Male,59,688950,27,3,3,0,3
603,Male,25,1411301,100,0,2,0,0
604,Male,41,432629,39,1,0,0,1
605,Male,59,1034537,19,3,3,0,3
606,Male,37,442144,52,1,0,0,1
607,Female,54,862379,15,3,3,0,3
608,Male,32,560487,45,1,0,0,1
609,Female,40,694649,63,4,0,0,4
610,Female,55,1500000,28,2,1,0,2
611,Male,27,790940,66,4,4,0,4
612,Female,25,1181819,93,0,2,0,0
613,Female,23,812171,72,4,4,0,4
614,Female,57,819439,17,3,3,0,3
615,Female,39,457996,63,1,0,0,1
616,Female,28,557215,65,4,4,0,4
617,Female,45,602460,70,1,0,0,1
618,Female,40,589586,40,1,0,0,1
619,Male,29,1392747,87,0,2,0,0
620,Female,27,1262666,82,0,2,0,0
621,Female,30,796125,75,4,4,0,4
622,Male,26,1218699,89,0,2,0,0
623,Female,41,490048,57,1,0,0,1
624,Female,36,327403,32,1,0,0,1
625,Female,32,705753,75,4,4,0,4
626,Female,40,1268655,34,2,1,0,2
627,Female,54,981478,13,3,3,0,3
628,Male,53,309698,41,1,0,0,1
629,Male,44,409342,45,1,0,0,1
630,Female,23,1417542,78,0,2,0,0
631,Female,24,1249766,78,0,2,0,0
632,Female,32,651235,62,4,4,0,4
633,Male,25,791952,81,4,4,0,4
634,Female,50,1500000,39,2,1,0,2
635,Female,37,709690,84,4,4,0,4
636,Male,26,1249250,87,0,2,0,0
637,Female,26,918852,55,4,4,0,4
638,Male,25,1202850,87,0,2,0,0
639,Male,31,734059,71,4,4,0,4
640,Male,56,877675,22,3,3,0,3
641,Male,50,1359525,42,2,1,0,2
642,Male,44,303375,48,1,0,0,1
643,Male,38,554245,50,1,0,0,1
644,Female,32,629629,72,4,4,0,4
645,Male,53,1021533,34,3,3,0,3
646,Female,57,853367,21,3,3,0,3
647,Female,33,789987,74,4,4,0,4
648,Female,25,1275158,97,0,2,0,0
649,Female,56,828659,29,3,3,0,3
650,Female,46,527925,47,1,0,0,1
651,Female,38,390392,33,1,0,0,1
652,Male,27,1290448,91,0,2,0,0
653,Female,27,717093,85,4,4,0,4
654,Female,29,654311,59,4,4,0,4
655,Male,28,853897,62,4,4,0,4
656,Female,48,1500000,41,2,1,0,2
657,Male,56,867998,15,3,3,0,3
658,Female,28,821919,81,4,4,0,4
659,Female,58,849466,19,3,3,0,3
660,Female,30,704022,72,4,4,0,4
661,Female,55,765652,20,3,3,0,3
662,Female,34,827032,62,4,4,0,4
663,Female,43,1489122,34,2,1,0,2
664,Female,25,1198022,87,0,2,0,0
665,Male,23,1333449,69,0,2,0,0
666,Male,44,1207240,38,2,1,0,2
667,Male,31,782734,77,4,4,0,4
668,Female,23,1258083,89,0,2,0,0
669,Female,52,1333374,32,2,1,0,2
670,Male,45,1500000,26,2,1,0,2
671,Male,46,1374611,24,2,1,0,2
672,Female,44,519073,43,1,0,0,1
673,Female,53,865716,21,3,3,0,3
674,Female,31,682017,88,4,4,0,4
675,Female,58,915605,10,3,3,0,3
676,Female,39,887798,76,4,4,0,4
677,Male,45,497201,50,1,0,0,1
