CustomerID,Gender,Age,Annual Income (BDT),Spending Score (1-100)
325,Female,35,535754,41
326,Female,44,594017,43
327,Female,28,1205586,87
328,Male,45,1396967,19
329,Male,24,779047,60
330,Male,49,1438338,29
331,Male,59,956082,15
332,Female,55,971109,18
333,Female,43,1180527,34
334,Female,54,975166,11
335,Male,59,864232,21
336,Female,31,879452,86
337,Female,53,1435150,42
338,Male,45,508045,57
339,Male,50,1389654,34
340,Female,48,378429,55
341,Male,29,708443,98
342,Female,23,1210961,81
343,Male,61,1078524,27
344,Female,35,712907,72
345,Male,24,1453054,90
346,Female,42,448960,39
347,Female,34,829386,64
348,Male,29,1058519,86
349,Female,37,436681,48
350,Female,22,1226240,73
351,Male,55,851595,24
352,Male,39,665342,74
353,Female,26,980236,90
354,Male,49,1476112,29
355,Female,32,701105,74
356,Female,27,1164882,75
357,Female,28,694885,79
358,Female,52,784605,27
359,Female,32,739216,66
360,Female,37,625237,51
361,Female,34,897105,75
362,Female,51,1493760,37
363,Male,58,1411533,45
364,Male,55,817669,27
365,Male,59,753330,21
366,Female,64,762771,29
367,Female,54,1440017,41
368,Male,37,510871,47
369,Male,44,1474899,25
370,Female,56,1349999,37
371,Male,25,1245826,79
372,Female,30,1351481,85
373,Male,39,369686,60
374,Female,37,486015,42
375,Male,26,1370785,93
376,Female,43,376857,66
377,Male,43,320470,43
378,Male,47,440627,51
379,Female,22,1205468,95
380,Male,41,412783,59
381,Male,59,1225118,36
382,Male,44,1241476,44
383,Female,59,880268,18
384,Male,58,1003280,26
385,Female,24,1462650,97
386,Female,27,695255,59
387,Male,41,441233,39
388,Female,59,883660,22
389,Male,63,775185,24
390,Female,46,532922,34
391,Male,45,1418887,32
392,Female,46,536464,34
393,Female,48,513530,31
394,Female,31,579216,57
395,Female,41,1338307,26
396,Male,33,521217,50
397,Male,27,1246103,79
398,Male,26,1402326,86
399,Male,59,954958,27
400,Male,34,621773,76
401,Female,57,905873,16
402,Female,28,569586,64
403,Male,46,593877,45
404,Female,39,860996,80
405,Male,36,893508,63
406,Male,50,493957,46
407,Male,29,1273567,88
408,Female,30,755679,53
409,Male,60,806308,34
410,Female,55,1437906,19
411,Female,34,476632,68
412,Female,29,1419763,72
413,Male,43,561910,32
414,Male,24,1132647,79
415,Female,24,1073353,98
416,Female,43,573606,46
417,Male,41,621884,51
418,Female,24,1183417,91
419,Male,45,494184,26
420,Male,27,1401199,80
421,Male,24,1215392,98
422,Female,47,1376247,26
423,Female,45,418886,68
424,Female,64,928306,8
425,Male,57,803857,31
426,Female,63,852483,24
427,Female,61,842306,25
428,Female,25,1342522,75
429,Male,19,1157804,79
430,Male,22,1232729,90
431,Female,24,787366,60
432,Male,31,1343441,84
433,Female,27,707868,75
434,Female,33,387997,48
435,Male,45,313756,41
436,Male,39,413705,51
437,Male,39,511146,54
438,Male,40,1242690,40
439,Male,58,1398893,23
440,Female,55,954348,15
441,Male,29,1295060,82
442,Male,33,319174,54
443,Male,43,1419112,30
444,Female,46,494518,37
445,Male,54,1314557,27
446,Female,26,1154843,84
447,Female,51,1404691,20
448,Female,33,681761,64
449,Male,25,1337438,100
450,Female,31,819306,70
451,Female,36,801241,75
452,Female,62,978988,20
453,Male,32,853763,56
454,Female,39,721693,57
455,Male,36,564573,52
456,Female,27,1292004,83
457,Male,58,1012892,23
458,Female,23,1188390,82
459,Female,32,1333102,88
460,Female,23,1272744,80
461,Male,43,624739,49
462,Female,30,1319408,95
463,Female,24,1028091,78
464,Male,26,1179563,87
465,Female,35,413436,42
466,Male,32,433787,50
467,Female,68,774681,33
468,Male,60,957657,23
469,Male,31,1196772,97
470,Male,34,948266,75
471,Male,52,820575,31
472,Male,45,1490988,36
473,Male,45,1326598,28
474,Female,24,1268002,84
475,Male,31,842021,83
476,Male,20,691330,73
477,Female,29,641581,70
478,Female,34,699082,69
479,Female,42,783733,58
480,Male,57,871367,16
481,Female,29,750060,69
482,Female,26,1047924,85
483,Female,46,496364,58
484,Male,59,1337690,48
485,Female,51,1322754,28
486,Male,32,774222,60
487,Female,45,1500000,37
488,Female,34,687779,71
489,Female,22,1295487,84
490,Female,31,730003,69
491,Male,63,742822,22
492,Female,48,1357297,23
493,Female,30,837291,67
494,Male,33,769640,58
495,Female,48,1466878,24
496,Female,52,717529,22
497,Female,25,1195955,85
498,Male,46,1374755,26
499,Female,22,1173124,85
500,Male,32,559742,74
501,Male,42,435113,55
502,Male,54,1048944,23
503,Female,52,788060,19
504,Male,30,839666,66
505,Male,21,1347698,94
506,Female,51,1411926,24
507,Female,36,878202,77
508,Female,57,833673,23
509,Female,28,649976,61
510,Male,56,809888,24
511,Female,32,779803,63
512,Male,26,1331090,74
513,Female,24,1500000,79
514,Male,53,1425359,38
515,Male,57,1005075,14
516,Male,28,669149,64
517,Female,52,718430,13
518,Female,27,1119923,91
519,Male,41,600782,43
520,Female,37,519546,41
521,Female,29,1086188,82
522,Female,52,1034697,28
523,Female,40,419193,59
524,Male,52,785940,20
525,Female,49,860495,12
526,Male,41,446878,42
527,Female,40,863844,80
528,Male,55,1381956,39
529,Female,52,1382130,37
530,Male,34,724178,70
531,Female,47,1194038,44
532,Male,60,1014879,27
533,Male,42,486133,45
534,Male,26,687225,77
535,Male,24,1156148,81
536,Male,54,1382718,45
537,Male,44,734382,53
538,Male,37,877118,69
539,Female,38,441038,46
540,Male,42,560777,40
541,Female,51,1500000,40
542,Female,34,489695,54
543,Female,26,1416616,88
544,Male,40,1376673,34
545,Male,51,966506,39
546,Male,40,794276,56
547,Male,29,1262465,83
548,Female,60,1486040,37
549,Female,22,814550,86
550,Male,65,1043523,27
551,Female,42,1489292,17
552,Female,41,1447833,22
553,Male,24,1287210,86
554,Female,44,624169,29
555,Male,28,1199675,92
556,Male,26,796260,82
557,Female,53,949648,22
558,Female,23,1138181,77
559,Male,23,1368892,85
560,Female,23,1349706,81
561,Female,37,787651,64
562,Female,55,1430085,30
563,Male,37,1484478,29
564,Female,53,892747,21
565,Female,24,1298324,97
566,Female,55,1500000,32
567,Female,46,471267,39
568,Female,57,943198,19
569,Male,40,577991,43
570,Male,35,693604,88
571,Male,54,816858,24
572,Male,27,1077001,79
573,Female,26,691461,62
574,Female,48,602850,48
575,Female,48,1321305,40
576,Male,24,1219020,99
577,Female,61,819700,18
578,Male,62,800279,25
579,Male,56,1011629,33
580,Female,21,1202121,77
581,Female,21,1320656,83
582,Female,26,1117884,89
583,Male,25,461610,69
584,Female,35,626597,70
585,Male,26,1248645,90
586,Female,50,519033,55
587,Female,33,586694,84
588,Male,41,547260,50
589,Female,56,890056,30
590,Male,56,1492497,31
591,Male,32,780520,64
592,Male,29,658303,66
593,Male,33,871062,79
594,Female,46,607833,57
595,Female,40,598536,52
596,Female,24,1038833,88
597,Male,56,1456613,45
598,Male,27,1392940,82
599,Female,46,546051,62
600,Male,49,425192,48
601,Female,57,853625,32
602,Male,59,688950,27
603,Male,25,1411301,100
604,Male,41,432629,39
605,Male,59,1034537,19
606,Male,37,442144,52
607,Female,54,862379,15
608,Male,32,560487,45
609,Female,40,694649,63
610,Female,55,1500000,28
611,Male,27,790940,66
612,Female,25,1181819,93
613,Female,23,812171,72
614,Female,57,819439,17
615,Female,39,457996,63
616,Female,28,557215,65
617,Female,45,602460,70
618,Female,40,589586,40
619,Male,29,1392747,87
620,Female,27,1262666,82
621,Female,30,796125,75
622,Male,26,1218699,89
623,Female,41,490048,57
624,Female,36,327403,32
625,Female,32,705753,75
626,Female,40,1268655,34
627,Female,54,981478,13
628,Male,53,309698,41
629,Male,44,409342,45
630,Female,23,1417542,78
631,Female,24,1249766,78
632,Female,32,651235,62
633,Male,25,791952,81
634,Female,50,1500000,39
635,Female,37,709690,84
636,Male,26,1249250,87
637,Female,26,918852,55
638,Male,25,1202850,87
639,Male,31,734059,71
640,Male,56,877675,22
641,Male,50,1359525,42
642,Male,44,303375,48
643,Male,38,554245,50
644,Female,32,629629,72
645,Male,53,1021533,34
646,Female,57,853367,21
647,Female,33,789987,74
648,Female,25,1275158,97
649,Female,56,828659,29
650,Female,46,527925,47
651,Female,38,390392,33
652,Male,27,1290448,91
653,Female,27,717093,85
654,Female,29,654311,59
655,Male,28,853897,62
656,Female,48,1500000,41
657,Male,56,867998,15
658,Female,28,821919,81
659,Female,58,849466,19
660,Female,30,704022,72
661,Female,55,765652,20
662,Female,34,827032,62
663,Female,43,1489122,34
664,Female,25,1198022,87
665,Male,23,1333449,69
666,Male,44,1207240,38
667,Male,31,782734,77
668,Female,23,1258083,89
669,Female,52,1333374,32
670,Male,45,1500000,26
671,Male,46,1374611,24
672,Female,44,519073,43
673,Female,53,865716,21
674,Female,31,682017,88
675,Female,58,915605,10
676,Female,39,887798,76
677,Male,45,497201,50
678,Male,59,978983,17
679,Female,46,1471260,36
680,Female,42,569402,43
681,Male,57,1336252,25
682,Male,46,1195711,28
683,Male,27,554986,66
684,Female,39,538675,41
685,Female,26,1215421,85
686,Female,51,1386579,51
687,Male,33,488620,44
688,Male,46,454815,52
689,Female,36,627188,48
690,Female,34,588624,54
691,Male,39,743092,65
692,Male,30,727882,66
693,Male,43,659556,44
694,Male,38,672190,39
695,Male,38,702639,78
696,Female,30,759060,61
697,Female,52,1449623,32
698,Female,33,679729,70
699,Female,47,536955,47
700,Male,29,599252,57
701,Female,25,1380821,82
702,Female,26,487849,56
703,Female,26,1095272,98
704,Female,53,1415003,47
705,Female,25,1388034,89
706,Male,50,1455207,30
707,Male,23,1192994,75
708,Female,27,1283446,74
709,Male,31,1158747,87
710,Female,30,762114,66
711,Male,61,1470514,36
712,Female,48,591414,53
713,Male,52,686338,8
714,Female,50,320812,53
715,Male,30,500613,61
716,Male,39,556243,45
717,Male,43,1487392,30
718,Female,55,875429,23
719,Male,52,983895,19
720,Female,43,646396,31
721,Female,49,518235,35
722,Male,44,651677,51
723,Female,29,735337,78
724,Male,25,871147,86
725,Male,40,549697,42
726,Male,48,473893,37
727,Female,27,1256028,84
728,Female,45,1480092,42
729,Female,47,1469410,25
730,Female,55,857274,25
731,Female,35,633839,78
732,Male,47,1500000,32
733,Male,23,1322420,85
734,Female,26,757234,79
735,Female,57,1037700,18
736,Male,31,679523,93
737,Male,21,1121773,76
738,Female,26,1242365,84
739,Male,61,855407,28
740,Female,34,761616,87
741,Female,59,798132,13
742,Male,44,596166,48
743,Female,24,1043585,76
744,Male,46,553877,45
745,Female,36,794948,81
746,Male,28,1336464,86
747,Female,37,473694,44
748,Female,30,955409,60
749,Male,47,582998,39
750,Female,34,1317239,100
751,Female,28,695281,60
752,Female,24,1045979,83
753,Female,60,997794,33
754,Female,40,746352,50
755,Male,55,752422,16
756,Female,33,758895,99
757,Male,62,998296,30
758,Male,26,1157149,87
759,Male,52,1500000,42
760,Female,61,835555,23
761,Male,38,453052,43
762,Female,32,513281,75
763,Female,24,1101466,90
764,Female,46,1112390,37
765,Female,36,980692,69
766,Female,57,749646,34
767,Male,36,805184,61
768,Female,28,909176,68
769,Male,34,857735,72
770,Male,51,1262394,36
771,Male,43,1500000,40
772,Female,56,1087920,22
773,Female,48,1333217,26
774,Male,43,536388,38
775,Female,24,1472101,88
776,Male,56,897658,8
777,Female,52,709209,30
778,Male,25,661452,70
779,Male,59,883984,22
780,Female,22,1093118,82
781,Female,26,1216932,75
782,Female,44,558470,49
783,Male,47,1500000,33
784,Female,54,958057,9
785,Male,40,532702,40
786,Male,54,1000439,27
787,Male,34,832625,84
788,Male,30,612496,77
789,Female,41,1353100,35
790,Male,27,375780,33
791,Male,56,1338842,36
792,Female,54,922740,17
793,Male,28,1347164,91
794,Male,57,896817,14
795,Female,37,502478,50
796,Male,38,502455,43
797,Female,32,692345,64
798,Female,42,561761,47
799,Female,37,799371,64
800,Female,32,676465,73
801,Male,25,1041371,87
802,Male,53,1377047,33
803,Female,47,497622,47
804,Female,21,1381573,77
805,Male,34,482250,47
806,Male,52,1500000,23
807,Female,48,1216710,40
808,Female,25,1388576,80
809,Male,59,818379,20
810,Female,26,1380179,82
811,Male,54,825663,35
812,Male,51,1500000,26
813,Male,44,1414867,33
814,Female,42,512677,28
815,Male,58,913121,19
816,Male,32,769405,77
817,Female,55,1500000,38
818,Male,24,1192214,89
819,Male,31,753971,65
820,Male,66,833281,27
821,Male,50,1397590,34
822,Female,31,1500000,89
823,Female,24,659764,76
824,Female,29,1211556,83
825,Female,31,798751,59
826,Female,45,596505,38
827,Female,38,1500000,35
828,Female,43,537035,49
829,Female,42,391592,59
830,Male,61,859162,18
831,Female,29,757844,61
832,Female,54,1007209,19
833,Female,56,969100,28
834,Male,54,969435,33
835,Female,61,901689,35
836,Male,26,1429620,100
837,Female,24,1311423,96
838,Male,45,1445469,37
839,Male,29,981124,66
840,Female,28,844470,85
841,Male,37,793544,60
842,Female,31,745559,71
843,Female,34,706773,57
844,Male,57,1488863,45
845,Female,55,791291,31
846,Male,53,748491,11
847,Female,30,868777,54
848,Male,42,408261,49
849,Female,40,1500000,41
850,Female,59,839202,31
851,Female,29,360714,46
852,Male,41,600377,58
853,Male,45,1483807,39
854,Female,53,1334752,25
855,Male,44,560016,52
856,Male,25,1345790,82
857,Female,42,577660,40
858,Female,41,510923,45
859,Male,55,1337516,45
860,Male,25,736105,78
861,Male,34,812964,69
862,Male,27,1045078,70
863,Male,64,927461,18
864,Male,61,794660,21
865,Female,26,1204971,82
866,Female,28,672045,69
867,Male,53,915210,26
868,Male,46,1226786,44
869,Male,30,576298,67
870,Male,31,673908,80
871,Female,28,1407890,85
872,Female,26,1152561,84
873,Female,27,1101436,97
874,Female,28,691040,67
875,Male,52,948959,16
876,Female,25,1261739,86
877,Male,36,399714,46
878,Male,59,1155832,43
879,Male,37,467000,41
880,Female,61,708222,29
881,Female,35,890782,83
882,Female,36,407083,49
883,Male,37,559303,45
884,Female,44,393441,50
885,Male,58,963271,20
886,Female,35,565745,86
887,Female,44,545538,49
888,Female,32,821197,70
889,Male,20,1128425,75
890,Male,50,1438121,33
891,Male,61,914863,25
892,Male,34,739628,77
893,Male,55,955515,15
894,Male,19,1213252,95
895,Male,48,552660,53
896,Male,27,848696,86
897,Male,56,980142,3
898,Female,45,1497788,24
899,Male,29,1235599,88
900,Female,29,1194347,83
901,Female,55,1067819,23
902,Male,28,1266017,83
903,Female,33,705884,73
904,Male,20,1263442,75
905,Male,48,1377615,44
906,Female,53,1014855,16
907,Male,57,990070,22
908,Female,59,1044435,28
909,Female,26,1205558,84
910,Female,60,970332,21
911,Female,56,1429766,27
912,Female,37,799391,83
913,Female,37,1226793,33
914,Male,43,466054,35
915,Male,57,878847,23
916,Male,42,453394,54
917,Male,54,1321958,24
918,Male,36,696638,74
919,Female,39,588555,44
920,Male,27,1148255,86
921,Female,29,879959,66
922,Male,27,1340599,90
923,Male,32,791313,72
924,Female,25,1156059,84
925,Male,55,1475264,39
926,Female,43,602828,40
927,Male,42,464536,44
928,Female,35,310324,47
929,Female,62,713407,23
930,Male,44,1280653,33
931,Female,30,1406646,79
932,Female,53,397259,38
933,Female,56,1262848,24
934,Male,47,587824,59
935,Male,52,1151106,19
936,Female,39,474910,38
937,Female,48,1500000,30
938,Male,60,954185,21
939,Female,42,1212148,42
940,Female,43,472576,36
941,Female,29,909505,74
942,Male,27,1248326,90
943,Male,45,656739,65
944,Male,56,1115052,21
945,Female,23,1188898,88
946,Female,47,467180,48
947,Female,28,1325087,73
948,Male,30,824548,91
949,Female,44,1500000,24
950,Female,39,436299,43
951,Male,36,555801,52
952,Female,43,513697,44
953,Male,27,1197892,83
954,Male,33,782474,75
955,Male,37,336598,50
956,Female,24,1236005,93
957,Female,43,507163,46
958,Female,32,754735,63
959,Male,53,1077116,21
960,Female,30,511198,75
961,Male,58,1076733,20
962,Female,32,401198,48
963,Female,61,977592,21
964,Female,26,691735,83
965,Male,32,697617,61
966,Female,35,480908,32
967,Male,24,682458,67
968,Male,59,1053956,20
969,Male,63,1078291,19
970,Female,52,986489,23
971,Female,31,697276,59
972,Female,46,1356114,35
973,Male,28,1308779,91
974,Male,52,823359,10
975,Male,27,576030,81
976,Female,49,1230190,39
977,Male,43,1308345,44
978,Female,50,1382567,22
979,Female,56,1421768,55
980,Female,63,905623,31
981,Female,60,1064180,30
982,Female,37,730357,66
983,Female,53,1499665,32
984,Male,56,880416,21
985,Male,49,1386025,33
986,Female,30,531803,70
987,Male,51,1409514,39
988,Male,58,762148,28
989,Female,55,831650,17
990,Female,52,1391952,31
991,Male,36,690689,57
992,Male,22,1262456,86
993,Female,53,1362528,31
994,Female,44,1235711,30
995,Female,56,1282688,26
996,Female,53,853475,26
997,Male,21,1311725,85
998,Male,38,207261,45
999,Female,62,975363,14
1000,Male,55,950390,15
1001,Female,24,789688,65
1002,Male,26,991350,82
1003,Male,64,829068,34
1004,Male,22,1033780,90
1005,Female,27,1284250,99
1006,Male,47,1500000,28
1007,Female,46,1480917,27
1008,Male,61,812902,38
1009,Male,48,1485293,42
1010,Female,28,1120536,87
1011,Male,43,501483,45
1012,Female,42,1362294,27
1013,Female,28,1388117,86
1014,Female,29,361064,48
1015,Female,31,541457,77
1016,Male,44,792368,35
1017,Male,59,945933,21
1018,Male,44,350328,50
1019,Male,33,1186557,91
1020,Male,45,355332,38
1021,Male,43,370033,44
1022,Male,47,379727,45
1023,Male,23,1341810,100
1024,Male,49,1500000,35
1025,Female,31,709275,64
1026,Female,22,1056021,81
1027,Female,55,849568,27
1028,Female,59,867764,32
1029,Female,59,754074,25
1030,Female,34,398873,43
1031,Male,46,1304003,29
1032,Male,37,784620,82
1033,Male,33,475865,45
1034,Male,24,1287104,80
1035,Female,47,1351925,41
1036,Female,47,498229,55
1037,Female,56,1016888,25
1038,Male,52,1482197,37
1039,Female,50,925040,17
1040,Female,35,810453,70
1041,Female,46,1346094,32
1042,Female,48,1310216,39
1043,Male,41,687392,78
1044,Male,58,897596,23
1045,Female,35,870368,75
1046,Male,57,866274,22
1047,Female,32,716366,39
1048,Female,22,1239027,80
1049,Female,45,659951,53
1050,Male,39,517109,50
1051,Female,34,870603,77
1052,Male,45,1432674,26
1053,Female,37,405719,44
1054,Male,39,495696,40
1055,Male,43,1497467,32
1056,Female,42,1278468,26
1057,Female,45,489768,39
1058,Male,37,1333468,31
1059,Female,28,1286599,84
1060,Male,47,1404506,40
1061,Male,50,1413489,32
1062,Male,48,569874,54
1063,Female,23,1411507,82
1064,Female,51,855667,27
1065,Male,47,593858,46
1066,Male,51,576350,53
1067,Female,46,469759,38
1068,Male,32,655071,63
1069,Female,31,643482,71
1070,Female,44,490221,64
1071,Male,24,1283708,78
1072,Male,48,1453822,41
1073,Male,60,869561,31
1074,Female,58,824158,25
1075,Male,25,1166191,75
1076,Male,56,1495532,32
1077,Male,37,531987,52
1078,Female,56,992995,21
1079,Male,36,610497,75
1080,Male,25,1299660,89
1081,Female,25,1185683,85
1082,Female,63,1464423,40
1083,Male,57,808544,24
1084,Female,24,1181080,83
1085,Male,31,1343594,84
1086,Female,44,570324,47
1087,Female,24,743020,82
1088,Female,30,960277,91
1089,Male,43,509787,55
1090,Female,37,390530,40
1091,Male,26,1444974,88
1092,Male,27,1210044,83
1093,Male,50,1483837,26
1094,Male,61,802891,17
1095,Male,52,1402344,32
1096,Female,57,1405864,34
1097,Female,40,576643,59
1098,Male,39,893678,74
1099,Male,50,1290828,37
1100,Female,57,979960,28
1101,Male,28,1178861,78
1102,Male,46,1212833,40
1103,Male,47,1328095,46
1104,Male,27,1164042,83
1105,Female,34,826219,78
1106,Female,52,1419420,29
1107,Male,34,842788,68
1108,Female,27,679379,78
1109,Female,42,424739,59
1110,Male,36,532840,46
1111,Male,50,1482684,35
1112,Female,24,1222655,82
